age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;income
39;Government;77516;Undergraduate;13;Never-married;Adm-clerical;Not-in-family;White;Male;2174;0;40;United-States;<=50K
50;Non-Government;83311;Undergraduate;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;13;United-States;<=50K
38;Non-Government;215646;High School;9;Divorced;Handlers-cleaners;Not-in-family;White;Male;0;0;40;United-States;<=50K
53;Non-Government;234721;High School;7;Married-civ-spouse;Handlers-cleaners;Husband;Black;Male;0;0;40;United-States;<=50K
28;*;338409;*;13;Married-civ-spouse;*;Wife;Black;Female;0;0;40;*;<=50K
37;Non-Government;284582;Graduate;14;Married-civ-spouse;Exec-managerial;Wife;White;Female;0;0;40;United-States;<=50K
49;*;160187;*;5;Married-spouse-absent;*;Not-in-family;Black;Female;0;0;16;*;<=50K
52;Non-Government;209642;High School;9;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;45;United-States;>50K
31;Non-Government;45781;Graduate;14;Never-married;Prof-specialty;Not-in-family;White;Female;14084;0;50;United-States;>50K
42;Non-Government;159449;Undergraduate;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;5178;0;40;United-States;>50K
37;Non-Government;280464;Undergraduate;10;Married-civ-spouse;Exec-managerial;Husband;Black;Male;0;0;80;United-States;>50K
30;*;141297;*;13;Married-civ-spouse;*;Husband;Asian-Pac-Islander;Male;0;0;40;*;>50K
23;Non-Government;122272;Undergraduate;13;Never-married;Adm-clerical;Own-child;White;Female;0;0;30;United-States;<=50K
32;Non-Government;205019;Professional Education;12;Never-married;Sales;Not-in-family;Black;Male;0;0;50;United-States;<=50K
40;*;121772;*;11;Married-civ-spouse;*;Husband;Asian-Pac-Islander;Male;0;0;40;*;>50K
34;*;245487;*;4;Married-civ-spouse;*;Husband;Amer-Indian-Eskimo;Male;0;0;45;*;<=50K
25;Non-Government;176756;High School;9;Never-married;Farming-fishing;Own-child;White;Male;0;0;35;United-States;<=50K
32;Non-Government;186824;High School;9;Never-married;Machine-op-inspct;Unmarried;White;Male;0;0;40;United-States;<=50K
38;Non-Government;28887;High School;7;Married-civ-spouse;Sales;Husband;White;Male;0;0;50;United-States;<=50K
43;Non-Government;292175;Graduate;14;Divorced;Exec-managerial;Unmarried;White;Female;0;0;45;United-States;>50K
40;Non-Government;193524;Graduate;16;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;60;United-States;>50K
54;Non-Government;302146;High School;9;Separated;Other-service;Unmarried;Black;Female;0;0;20;United-States;<=50K
35;*;76845;*;5;Married-civ-spouse;*;Husband;Black;Male;0;0;40;*;<=50K
43;Non-Government;117037;High School;7;Married-civ-spouse;Transport-moving;Husband;White;Male;0;2042;40;United-States;<=50K
59;Non-Government;109015;High School;9;Divorced;Tech-support;Unmarried;White;Female;0;0;40;United-States;<=50K
56;*;216851;*;13;Married-civ-spouse;*;Husband;White;Male;0;0;40;*;>50K
