17,"{17, 18, 19}",*
18,"{17, 18, 19}",*
19,"{17, 18, 19}",*
20,"{20, 21, 22}",*
21,"{20, 21, 22}",*
22,"{20, 21, 22}",*
23,"{23, 24, 25}",*
24,"{23, 24, 25}",*
25,"{23, 24, 25}",*
26,"{26, 27, 28}",*
27,"{26, 27, 28}",*
28,"{26, 27, 28}",*
29,"{29, 30, 31}",*
30,"{29, 30, 31}",*
31,"{29, 30, 31}",*
32,"{32, 33, 34}",*
33,"{32, 33, 34}",*
34,"{32, 33, 34}",*
35,"{35, 36, 37}",*
36,"{35, 36, 37}",*
37,"{35, 36, 37}",*
38,"{38, 39, 40}",*
39,"{38, 39, 40}",*
40,"{38, 39, 40}",*
41,"{41, 42, 43}",*
42,"{41, 42, 43}",*
43,"{41, 42, 43}",*
44,"{44, 45, 46}",*
45,"{44, 45, 46}",*
46,"{44, 45, 46}",*
47,"{47, 48, 49}",*
48,"{47, 48, 49}",*
49,"{47, 48, 49}",*
50,"{50, 51, 52}",*
51,"{50, 51, 52}",*
52,"{50, 51, 52}",*
53,"{53, 54, 55}",*
54,"{53, 54, 55}",*
55,"{53, 54, 55}",*
56,"{56, 57, 58}",*
57,"{56, 57, 58}",*
58,"{56, 57, 58}",*
59,"{59, 60, 61}",*
60,"{59, 60, 61}",*
61,"{59, 60, 61}",*
62,"{62, 63, 64}",*
63,"{62, 63, 64}",*
64,"{62, 63, 64}",*
65,"{65, 66, 67}",*
66,"{65, 66, 67}",*
67,"{65, 66, 67}",*
68,"{68, 69, 70}",*
69,"{68, 69, 70}",*
70,"{68, 69, 70}",*
71,"{71, 72, 73}",*
72,"{71, 72, 73}",*
73,"{71, 72, 73}",*
74,"{74, 75, 76}",*
75,"{74, 75, 76}",*
76,"{74, 75, 76}",*
77,"{77, 78, 79}",*
78,"{77, 78, 79}",*
79,"{77, 78, 79}",*
80,"{80, 81, 82}",*
81,"{80, 81, 82}",*
82,"{80, 81, 82}",*
83,"{83, 84, 85}",*
84,"{83, 84, 85}",*
85,"{83, 84, 85}",*
86,"{86, 87, 88}",*
87,"{86, 87, 88}",*
88,"{86, 87, 88}",*
90,{90},*
