?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Machine-op-inspct, Protective-serv, Prof-specialty, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Prof-specialty, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Prof-specialty, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Prof-specialty, Priv-house-serv}","{Craft-repair, Prof-specialty, Priv-house-serv, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Exec-managerial,"{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair, Handlers-cleaners}","{Craft-repair, Prof-specialty, Priv-house-serv, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Other-service, Transport-moving, Tech-support, Armed-Forces}","{Other-service, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Sales,"{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Other-service, Tech-support}","{Other-service, Tech-support}","{Other-service, Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Other-service, Transport-moving, Tech-support, Armed-Forces}","{Other-service, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Machine-op-inspct,"{Machine-op-inspct, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Prof-specialty, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Prof-specialty, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Prof-specialty, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Prof-specialty, Priv-house-serv}","{Craft-repair, Prof-specialty, Priv-house-serv, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service}","{Other-service, Tech-support}","{Other-service, Tech-support}","{Other-service, Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Other-service, Transport-moving, Tech-support, Armed-Forces}","{Other-service, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Other-service, Transport-moving, Tech-support, Armed-Forces}","{Other-service, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Priv-house-serv,"{Machine-op-inspct, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Prof-specialty, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Prof-specialty, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Prof-specialty, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Prof-specialty, Priv-house-serv}","{Craft-repair, Prof-specialty, Priv-house-serv, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Handlers-cleaners}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
