Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Farming-fishing, Machine-op-inspct}","{Farming-fishing, Craft-repair, Machine-op-inspct}","{Farming-fishing, Craft-repair, Machine-op-inspct}","{Farming-fishing, Craft-repair, Machine-op-inspct}","{Farming-fishing, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}","{Farming-fishing, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Handlers-cleaners,"{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners, Transport-moving}","{Handlers-cleaners, Transport-moving}","{Handlers-cleaners, Transport-moving}","{Handlers-cleaners, Transport-moving}","{Handlers-cleaners, Transport-moving}","{Farming-fishing, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}","{Farming-fishing, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Farming-fishing, Craft-repair, Machine-op-inspct}","{Farming-fishing, Craft-repair, Machine-op-inspct}","{Farming-fishing, Craft-repair, Machine-op-inspct}","{Farming-fishing, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}","{Farming-fishing, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Protective-serv,"{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}",*
Other-service,"{Other-service}","{Other-service}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Farming-fishing,"{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing, Machine-op-inspct}","{Farming-fishing, Craft-repair, Machine-op-inspct}","{Farming-fishing, Craft-repair, Machine-op-inspct}","{Farming-fishing, Craft-repair, Machine-op-inspct}","{Farming-fishing, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}","{Farming-fishing, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Adm-clerical,"{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Armed-Forces, Sales, Tech-support}","{Armed-Forces, Sales, Tech-support}","{Armed-Forces, Sales, Tech-support}","{Armed-Forces, Sales, Tech-support}","{Armed-Forces, Sales, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
?,"{?}","{?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
